     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         176,  0.0000e+00,  2.0000e+01,  1.0000e+01,  1.0707e-02
        1863,  4.5038e+01,  3.9735e+01,  1.0000e+01,  1.0735e-02
        1864,  4.0132e+01,  3.8946e+01,  1.0000e+01,  1.0735e-02
        1865,  3.5331e+01,  3.7662e+01,  1.0000e+01,  1.0735e-02
        1866,  3.0671e+01,  3.5938e+01,  1.0000e+01,  1.0736e-02
        1867,  2.6164e+01,  3.3843e+01,  1.0000e+01,  1.0737e-02
        1868,  2.1804e+01,  3.1457e+01,  1.0000e+01,  1.0737e-02
        1869,  1.7561e+01,  2.8867e+01,  1.0000e+01,  1.0737e-02
        1870,  1.3382e+01,  2.6175e+01,  1.0000e+01,  1.0735e-02
        1871,  9.1801e+00,  2.3521e+01,  1.0000e+01,  1.0726e-02
        1872,  4.7937e+00,  2.1188e+01,  1.0000e+01,  1.0702e-02
        1874,  5.0000e+01,  4.0000e+01,  1.0000e+01,  1.0740e-02
        2081,  9.5207e+01,  2.1189e+01,  1.0000e+01,  1.0730e-02
        2082,  9.0821e+01,  2.3521e+01,  1.0000e+01,  1.0758e-02
        2083,  8.6618e+01,  2.6176e+01,  1.0000e+01,  1.0771e-02
        2084,  8.2438e+01,  2.8866e+01,  1.0000e+01,  1.0777e-02
        2085,  7.8197e+01,  3.1457e+01,  1.0000e+01,  1.0777e-02
        2086,  7.3836e+01,  3.3842e+01,  1.0000e+01,  1.0774e-02
        2087,  6.9329e+01,  3.5938e+01,  1.0000e+01,  1.0770e-02
        2088,  6.4669e+01,  3.7662e+01,  1.0000e+01,  1.0764e-02
        2089,  5.9868e+01,  3.8946e+01,  1.0000e+01,  1.0755e-02
        2090,  5.4962e+01,  3.9735e+01,  1.0000e+01,  1.0747e-02
        2106,  1.0000e+02,  2.0000e+01,  1.0000e+01,  1.0688e-02
