     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         496,  0.0000e+00,  2.0000e+01,  1.0000e+01,  2.2085e-06
       11129,  4.7975e+01,  3.9956e+01,  1.0000e+01,  4.7578e-07
       11130,  4.5954e+01,  3.9824e+01,  1.0000e+01,  2.3697e-07
       11131,  4.3941e+01,  3.9605e+01,  1.0000e+01,  1.2224e-07
       11132,  4.1939e+01,  3.9298e+01,  1.0000e+01,  4.8856e-08
       11133,  3.9952e+01,  3.8907e+01,  1.0000e+01,  1.7499e-08
       11134,  3.7983e+01,  3.8434e+01,  1.0000e+01,  2.3964e-08
       11135,  3.6034e+01,  3.7882e+01,  1.0000e+01,  3.5777e-08
       11136,  3.4109e+01,  3.7255e+01,  1.0000e+01,  3.8454e-08
       11137,  3.2207e+01,  3.6558e+01,  1.0000e+01,  3.3872e-08
       11138,  3.0331e+01,  3.5795e+01,  1.0000e+01,  2.0918e-08
       11139,  2.8482e+01,  3.4970e+01,  1.0000e+01,  1.3467e-08
       11140,  2.6657e+01,  3.4091e+01,  1.0000e+01,  2.9861e-08
       11141,  2.4858e+01,  3.3163e+01,  1.0000e+01,  5.8440e-08
       11142,  2.3082e+01,  3.2189e+01,  1.0000e+01,  8.3753e-08
       11143,  2.1327e+01,  3.1178e+01,  1.0000e+01,  1.0623e-07
       11144,  1.9593e+01,  3.0132e+01,  1.0000e+01,  1.2766e-07
       11145,  1.7872e+01,  2.9065e+01,  1.0000e+01,  1.5012e-07
       11146,  1.6167e+01,  2.7972e+01,  1.0000e+01,  1.7640e-07
       11147,  1.4467e+01,  2.6872e+01,  1.0000e+01,  2.0961e-07
       11148,  1.2764e+01,  2.5775e+01,  1.0000e+01,  2.5586e-07
       11149,  1.1061e+01,  2.4679e+01,  1.0000e+01,  3.2411e-07
       11150,  9.3376e+00,  2.3616e+01,  1.0000e+01,  4.2565e-07
       11151,  7.5890e+00,  2.2595e+01,  1.0000e+01,  5.2647e-07
       11152,  5.7968e+00,  2.1652e+01,  1.0000e+01,  3.3011e-07
       11153,  3.9419e+00,  2.0839e+01,  1.0000e+01,  7.6636e-07
       11154,  2.0079e+00,  2.0241e+01,  1.0000e+01,  1.8497e-06
       11156,  5.0000e+01,  4.0000e+01,  1.0000e+01,  7.5151e-07
       12175,  9.7992e+01,  2.0241e+01,  1.0000e+01,  4.3647e-06
       12176,  9.6058e+01,  2.0839e+01,  1.0000e+01,  3.9879e-06
       12177,  9.4203e+01,  2.1651e+01,  1.0000e+01,  2.7506e-06
       12178,  9.2410e+01,  2.2593e+01,  1.0000e+01,  1.7522e-06
       12179,  9.0663e+01,  2.3617e+01,  1.0000e+01,  1.0895e-06
       12180,  8.8938e+01,  2.4678e+01,  1.0000e+01,  6.5611e-07
       12181,  8.7236e+01,  2.5775e+01,  1.0000e+01,  3.5982e-07
       12182,  8.5534e+01,  2.6872e+01,  1.0000e+01,  1.3651e-07
       12183,  8.3832e+01,  2.7971e+01,  1.0000e+01,  7.9457e-08
       12184,  8.2128e+01,  2.9064e+01,  1.0000e+01,  1.7980e-07
       12185,  8.0407e+01,  3.0132e+01,  1.0000e+01,  2.8342e-07
       12186,  7.8673e+01,  3.1177e+01,  1.0000e+01,  3.6614e-07
       12187,  7.6918e+01,  3.2189e+01,  1.0000e+01,  4.3220e-07
       12188,  7.5143e+01,  3.3163e+01,  1.0000e+01,  4.8679e-07
       12189,  7.3343e+01,  3.4091e+01,  1.0000e+01,  5.3590e-07
       12190,  7.1519e+01,  3.4970e+01,  1.0000e+01,  5.8322e-07
       12191,  6.9669e+01,  3.5794e+01,  1.0000e+01,  6.2907e-07
       12192,  6.7793e+01,  3.6557e+01,  1.0000e+01,  6.7184e-07
       12193,  6.5891e+01,  3.7255e+01,  1.0000e+01,  7.0978e-07
       12194,  6.3966e+01,  3.7882e+01,  1.0000e+01,  7.4237e-07
       12195,  6.2017e+01,  3.8434e+01,  1.0000e+01,  7.6956e-07
       12196,  6.0048e+01,  3.8907e+01,  1.0000e+01,  7.9117e-07
       12197,  5.8061e+01,  3.9298e+01,  1.0000e+01,  8.0743e-07
       12198,  5.6059e+01,  3.9605e+01,  1.0000e+01,  8.1951e-07
       12199,  5.4046e+01,  3.9824e+01,  1.0000e+01,  8.2615e-07
       12200,  5.2025e+01,  3.9956e+01,  1.0000e+01,  8.4326e-07
       12231,  1.0000e+02,  2.0000e+01,  1.0000e+01,  3.6294e-06
