     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
       17084,  0.0000e+00,  2.0000e+01,  1.0000e+01,  2.0398e-06
       20369,  4.9006e+01,  3.9989e+01,  1.0000e+01,  4.6184e-07
       20370,  4.8012e+01,  3.9958e+01,  1.0000e+01,  3.5370e-07
       20371,  4.7019e+01,  3.9905e+01,  1.0000e+01,  2.5652e-07
       20372,  4.6028e+01,  3.9831e+01,  1.0000e+01,  1.7118e-07
       20373,  4.5038e+01,  3.9735e+01,  1.0000e+01,  1.0414e-07
       20374,  4.4051e+01,  3.9619e+01,  1.0000e+01,  5.1863e-08
       20375,  4.3066e+01,  3.9481e+01,  1.0000e+01,  1.6909e-08
       20376,  4.2084e+01,  3.9323e+01,  1.0000e+01,  1.6411e-08
       20377,  4.1106e+01,  3.9145e+01,  1.0000e+01,  3.5444e-08
       20378,  4.0132e+01,  3.8946e+01,  1.0000e+01,  4.7049e-08
       20379,  3.9162e+01,  3.8728e+01,  1.0000e+01,  5.3114e-08
       20380,  3.8197e+01,  3.8490e+01,  1.0000e+01,  5.5427e-08
       20381,  3.7236e+01,  3.8232e+01,  1.0000e+01,  5.5437e-08
       20382,  3.6281e+01,  3.7956e+01,  1.0000e+01,  5.4179e-08
       20383,  3.5331e+01,  3.7662e+01,  1.0000e+01,  5.2384e-08
       20384,  3.4387e+01,  3.7350e+01,  1.0000e+01,  5.0578e-08
       20385,  3.3449e+01,  3.7022e+01,  1.0000e+01,  4.9157e-08
       20386,  3.2517e+01,  3.6676e+01,  1.0000e+01,  4.8497e-08
       20387,  3.1591e+01,  3.6315e+01,  1.0000e+01,  4.8950e-08
       20388,  3.0671e+01,  3.5938e+01,  1.0000e+01,  5.0795e-08
       20389,  2.9757e+01,  3.5546e+01,  1.0000e+01,  5.4274e-08
       20390,  2.8850e+01,  3.5140e+01,  1.0000e+01,  5.9523e-08
       20391,  2.7948e+01,  3.4720e+01,  1.0000e+01,  6.6403e-08
       20392,  2.7053e+01,  3.4288e+01,  1.0000e+01,  7.4443e-08
       20393,  2.6164e+01,  3.3843e+01,  1.0000e+01,  8.2762e-08
       20394,  2.5281e+01,  3.3386e+01,  1.0000e+01,  9.0058e-08
       20395,  2.4403e+01,  3.2919e+01,  1.0000e+01,  9.4952e-08
       20396,  2.3532e+01,  3.2441e+01,  1.0000e+01,  9.6234e-08
       20397,  2.2665e+01,  3.1953e+01,  1.0000e+01,  9.2856e-08
       20398,  2.1804e+01,  3.1457e+01,  1.0000e+01,  8.4335e-08
       20399,  2.0947e+01,  3.0952e+01,  1.0000e+01,  7.1073e-08
       20400,  2.0096e+01,  3.0439e+01,  1.0000e+01,  5.3949e-08
       20401,  1.9248e+01,  2.9920e+01,  1.0000e+01,  3.3964e-08
       20402,  1.8402e+01,  2.9397e+01,  1.0000e+01,  1.2260e-08
       20403,  1.7561e+01,  2.8867e+01,  1.0000e+01,  1.1220e-08
       20404,  1.6724e+01,  2.8331e+01,  1.0000e+01,  3.2229e-08
       20405,  1.5889e+01,  2.7792e+01,  1.0000e+01,  5.3578e-08
       20406,  1.5055e+01,  2.7251e+01,  1.0000e+01,  7.3983e-08
       20407,  1.4219e+01,  2.6712e+01,  1.0000e+01,  9.3526e-08
       20408,  1.3382e+01,  2.6175e+01,  1.0000e+01,  1.1276e-07
       20409,  1.2548e+01,  2.5635e+01,  1.0000e+01,  1.3268e-07
       20410,  1.1713e+01,  2.5095e+01,  1.0000e+01,  1.5414e-07
       20411,  1.0874e+01,  2.4561e+01,  1.0000e+01,  1.7753e-07
       20412,  1.0030e+01,  2.4037e+01,  1.0000e+01,  2.0390e-07
       20413,  9.1801e+00,  2.3521e+01,  1.0000e+01,  2.3614e-07
       20414,  8.3255e+00,  2.3013e+01,  1.0000e+01,  2.7592e-07
       20415,  7.4600e+00,  2.2524e+01,  1.0000e+01,  3.2449e-07
       20416,  6.5852e+00,  2.2051e+01,  1.0000e+01,  3.8030e-07
       20417,  5.6972e+00,  2.1604e+01,  1.0000e+01,  4.2423e-07
       20418,  4.7937e+00,  2.1188e+01,  1.0000e+01,  3.9265e-07
       20419,  3.8729e+00,  2.0814e+01,  1.0000e+01,  1.8924e-07
       20420,  2.9329e+00,  2.0489e+01,  1.0000e+01,  4.2151e-07
       20421,  1.9719e+00,  2.0233e+01,  1.0000e+01,  1.2754e-06
       20422,  9.9235e-01,  2.0064e+01,  1.0000e+01,  1.9237e-06
       20424,  5.0000e+01,  4.0000e+01,  1.0000e+01,  5.3579e-07
       23635,  9.9008e+01,  2.0063e+01,  1.0000e+01,  4.7151e-06
       23636,  9.8028e+01,  2.0233e+01,  1.0000e+01,  5.5012e-06
       23637,  9.7067e+01,  2.0489e+01,  1.0000e+01,  5.6033e-06
       23638,  9.6127e+01,  2.0813e+01,  1.0000e+01,  5.2134e-06
       23639,  9.5207e+01,  2.1189e+01,  1.0000e+01,  4.5473e-06
       23640,  9.4303e+01,  2.1603e+01,  1.0000e+01,  3.8273e-06
       23641,  9.3416e+01,  2.2052e+01,  1.0000e+01,  3.1250e-06
       23642,  9.2539e+01,  2.2522e+01,  1.0000e+01,  2.4968e-06
       23643,  9.1675e+01,  2.3013e+01,  1.0000e+01,  1.9628e-06
       23644,  9.0821e+01,  2.3521e+01,  1.0000e+01,  1.5104e-06
       23645,  8.9970e+01,  2.4037e+01,  1.0000e+01,  1.1335e-06
       23646,  8.9125e+01,  2.4560e+01,  1.0000e+01,  8.1147e-07
       23647,  8.8287e+01,  2.5094e+01,  1.0000e+01,  5.3088e-07
       23648,  8.7452e+01,  2.5634e+01,  1.0000e+01,  2.8213e-07
       23649,  8.6618e+01,  2.6176e+01,  1.0000e+01,  1.1109e-07
       23650,  8.5782e+01,  2.6714e+01,  1.0000e+01,  1.5571e-07
       23651,  8.4946e+01,  2.7251e+01,  1.0000e+01,  3.3541e-07
       23652,  8.4110e+01,  2.7791e+01,  1.0000e+01,  4.8835e-07
       23653,  8.3275e+01,  2.8330e+01,  1.0000e+01,  6.1789e-07
       23654,  8.2438e+01,  2.8866e+01,  1.0000e+01,  7.2760e-07
       23655,  8.1598e+01,  2.9398e+01,  1.0000e+01,  8.2161e-07
       23656,  8.0753e+01,  2.9921e+01,  1.0000e+01,  9.0333e-07
       23657,  7.9904e+01,  3.0439e+01,  1.0000e+01,  9.7265e-07
       23658,  7.9052e+01,  3.0952e+01,  1.0000e+01,  1.0288e-06
       23659,  7.8197e+01,  3.1457e+01,  1.0000e+01,  1.0746e-06
       23660,  7.7335e+01,  3.1953e+01,  1.0000e+01,  1.1134e-06
       23661,  7.6468e+01,  3.2440e+01,  1.0000e+01,  1.1453e-06
       23662,  7.5597e+01,  3.2919e+01,  1.0000e+01,  1.1705e-06
       23663,  7.4719e+01,  3.3386e+01,  1.0000e+01,  1.1911e-06
       23664,  7.3836e+01,  3.3842e+01,  1.0000e+01,  1.2081e-06
       23665,  7.2947e+01,  3.4288e+01,  1.0000e+01,  1.2210e-06
       23666,  7.2052e+01,  3.4721e+01,  1.0000e+01,  1.2306e-06
       23667,  7.1151e+01,  3.5140e+01,  1.0000e+01,  1.2382e-06
       23668,  7.0243e+01,  3.5546e+01,  1.0000e+01,  1.2432e-06
       23669,  6.9329e+01,  3.5938e+01,  1.0000e+01,  1.2459e-06
       23670,  6.8409e+01,  3.6315e+01,  1.0000e+01,  1.2470e-06
       23671,  6.7483e+01,  3.6676e+01,  1.0000e+01,  1.2458e-06
       23672,  6.6551e+01,  3.7022e+01,  1.0000e+01,  1.2421e-06
       23673,  6.5613e+01,  3.7350e+01,  1.0000e+01,  1.2359e-06
       23674,  6.4669e+01,  3.7662e+01,  1.0000e+01,  1.2265e-06
       23675,  6.3719e+01,  3.7957e+01,  1.0000e+01,  1.2131e-06
       23676,  6.2764e+01,  3.8232e+01,  1.0000e+01,  1.1955e-06
       23677,  6.1803e+01,  3.8489e+01,  1.0000e+01,  1.1723e-06
       23678,  6.0838e+01,  3.8728e+01,  1.0000e+01,  1.1428e-06
       23679,  5.9868e+01,  3.8946e+01,  1.0000e+01,  1.1065e-06
       23680,  5.8894e+01,  3.9145e+01,  1.0000e+01,  1.0623e-06
       23681,  5.7916e+01,  3.9324e+01,  1.0000e+01,  1.0098e-06
       23682,  5.6934e+01,  3.9481e+01,  1.0000e+01,  9.4958e-07
       23683,  5.5949e+01,  3.9619e+01,  1.0000e+01,  8.8249e-07
       23684,  5.4962e+01,  3.9735e+01,  1.0000e+01,  8.1127e-07
       23685,  5.3972e+01,  3.9831e+01,  1.0000e+01,  7.4095e-07
       23686,  5.2981e+01,  3.9905e+01,  1.0000e+01,  6.7950e-07
       23687,  5.1988e+01,  3.9958e+01,  1.0000e+01,  6.1106e-07
       23688,  5.0994e+01,  3.9989e+01,  1.0000e+01,  5.6048e-07
       23739,  1.0000e+02,  2.0000e+01,  1.0000e+01,  3.3103e-06
