     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         918,  0.0000e+00,  2.0000e+01,  1.0000e+01,  1.0700e-02
       21914,  4.9251e+01,  3.9994e+01,  1.0000e+01,  1.0704e-02
       21915,  4.8502e+01,  3.9976e+01,  1.0000e+01,  1.0704e-02
       21916,  4.7754e+01,  3.9946e+01,  1.0000e+01,  1.0704e-02
       21917,  4.7006e+01,  3.9904e+01,  1.0000e+01,  1.0704e-02
       21918,  4.6258e+01,  3.9850e+01,  1.0000e+01,  1.0704e-02
       21919,  4.5512e+01,  3.9784e+01,  1.0000e+01,  1.0705e-02
       21920,  4.4767e+01,  3.9705e+01,  1.0000e+01,  1.0705e-02
       21921,  4.4024e+01,  3.9615e+01,  1.0000e+01,  1.0705e-02
       21922,  4.3281e+01,  3.9513e+01,  1.0000e+01,  1.0705e-02
       21923,  4.2541e+01,  3.9400e+01,  1.0000e+01,  1.0705e-02
       21924,  4.1803e+01,  3.9274e+01,  1.0000e+01,  1.0705e-02
       21925,  4.1066e+01,  3.9137e+01,  1.0000e+01,  1.0705e-02
       21926,  4.0332e+01,  3.8989e+01,  1.0000e+01,  1.0705e-02
       21927,  3.9600e+01,  3.8829e+01,  1.0000e+01,  1.0705e-02
       21928,  3.8871e+01,  3.8658e+01,  1.0000e+01,  1.0705e-02
       21929,  3.8144e+01,  3.8476e+01,  1.0000e+01,  1.0705e-02
       21930,  3.7420e+01,  3.8283e+01,  1.0000e+01,  1.0705e-02
       21931,  3.6699e+01,  3.8079e+01,  1.0000e+01,  1.0705e-02
       21932,  3.5981e+01,  3.7866e+01,  1.0000e+01,  1.0705e-02
       21933,  3.5267e+01,  3.7642e+01,  1.0000e+01,  1.0705e-02
       21934,  3.4555e+01,  3.7407e+01,  1.0000e+01,  1.0705e-02
       21935,  3.3847e+01,  3.7163e+01,  1.0000e+01,  1.0705e-02
       21936,  3.3142e+01,  3.6910e+01,  1.0000e+01,  1.0705e-02
       21937,  3.2440e+01,  3.6647e+01,  1.0000e+01,  1.0705e-02
       21938,  3.1743e+01,  3.6375e+01,  1.0000e+01,  1.0705e-02
       21939,  3.1048e+01,  3.6094e+01,  1.0000e+01,  1.0705e-02
       21940,  3.0357e+01,  3.5805e+01,  1.0000e+01,  1.0705e-02
       21941,  2.9670e+01,  3.5508e+01,  1.0000e+01,  1.0705e-02
       21942,  2.8986e+01,  3.5202e+01,  1.0000e+01,  1.0705e-02
       21943,  2.8306e+01,  3.4888e+01,  1.0000e+01,  1.0705e-02
       21944,  2.7629e+01,  3.4568e+01,  1.0000e+01,  1.0705e-02
       21945,  2.6955e+01,  3.4240e+01,  1.0000e+01,  1.0705e-02
       21946,  2.6285e+01,  3.3904e+01,  1.0000e+01,  1.0705e-02
       21947,  2.5619e+01,  3.3562e+01,  1.0000e+01,  1.0705e-02
       21948,  2.4956e+01,  3.3214e+01,  1.0000e+01,  1.0706e-02
       21949,  2.4295e+01,  3.2861e+01,  1.0000e+01,  1.0706e-02
       21950,  2.3639e+01,  3.2500e+01,  1.0000e+01,  1.0706e-02
       21951,  2.2985e+01,  3.2134e+01,  1.0000e+01,  1.0706e-02
       21952,  2.2334e+01,  3.1763e+01,  1.0000e+01,  1.0706e-02
       21953,  2.1686e+01,  3.1388e+01,  1.0000e+01,  1.0706e-02
       21954,  2.1041e+01,  3.1008e+01,  1.0000e+01,  1.0706e-02
       21955,  2.0399e+01,  3.0623e+01,  1.0000e+01,  1.0707e-02
       21956,  1.9759e+01,  3.0233e+01,  1.0000e+01,  1.0707e-02
       21957,  1.9120e+01,  2.9841e+01,  1.0000e+01,  1.0707e-02
       21958,  1.8483e+01,  2.9448e+01,  1.0000e+01,  1.0707e-02
       21959,  1.7849e+01,  2.9050e+01,  1.0000e+01,  1.0707e-02
       21960,  1.7217e+01,  2.8648e+01,  1.0000e+01,  1.0707e-02
       21961,  1.6586e+01,  2.8243e+01,  1.0000e+01,  1.0707e-02
       21962,  1.5957e+01,  2.7836e+01,  1.0000e+01,  1.0707e-02
       21963,  1.5329e+01,  2.7429e+01,  1.0000e+01,  1.0707e-02
       21964,  1.4700e+01,  2.7022e+01,  1.0000e+01,  1.0707e-02
       21965,  1.4070e+01,  2.6617e+01,  1.0000e+01,  1.0707e-02
       21966,  1.3440e+01,  2.6212e+01,  1.0000e+01,  1.0707e-02
       21967,  1.2811e+01,  2.5805e+01,  1.0000e+01,  1.0707e-02
       21968,  1.2182e+01,  2.5398e+01,  1.0000e+01,  1.0707e-02
       21969,  1.1552e+01,  2.4992e+01,  1.0000e+01,  1.0707e-02
       21970,  1.0921e+01,  2.4590e+01,  1.0000e+01,  1.0707e-02
       21971,  1.0285e+01,  2.4194e+01,  1.0000e+01,  1.0706e-02
       21972,  9.6458e+00,  2.3803e+01,  1.0000e+01,  1.0706e-02
       21973,  9.0051e+00,  2.3415e+01,  1.0000e+01,  1.0706e-02
       21974,  8.3608e+00,  2.3033e+01,  1.0000e+01,  1.0706e-02
       21975,  7.7103e+00,  2.2662e+01,  1.0000e+01,  1.0706e-02
       21976,  7.0537e+00,  2.2301e+01,  1.0000e+01,  1.0706e-02
       21977,  6.3919e+00,  2.1950e+01,  1.0000e+01,  1.0705e-02
       21978,  5.7218e+00,  2.1616e+01,  1.0000e+01,  1.0705e-02
       21979,  5.0425e+00,  2.1299e+01,  1.0000e+01,  1.0704e-02
       21980,  4.3550e+00,  2.1002e+01,  1.0000e+01,  1.0703e-02
       21981,  3.6555e+00,  2.0733e+01,  1.0000e+01,  1.0702e-02
       21982,  2.9460e+00,  2.0493e+01,  1.0000e+01,  1.0701e-02
       21983,  2.2239e+00,  2.0293e+01,  1.0000e+01,  1.0699e-02
       21984,  1.4912e+00,  2.0136e+01,  1.0000e+01,  1.0698e-02
       21985,  7.4836e-01,  2.0039e+01,  1.0000e+01,  1.0699e-02
       21987,  5.0000e+01,  4.0000e+01,  1.0000e+01,  1.0703e-02
       27126,  9.9252e+01,  2.0038e+01,  1.0000e+01,  1.0660e-02
       27127,  9.8509e+01,  2.0136e+01,  1.0000e+01,  1.0665e-02
       27128,  9.7776e+01,  2.0293e+01,  1.0000e+01,  1.0673e-02
       27129,  9.7054e+01,  2.0493e+01,  1.0000e+01,  1.0683e-02
       27130,  9.6345e+01,  2.0733e+01,  1.0000e+01,  1.0693e-02
       27131,  9.5645e+01,  2.1002e+01,  1.0000e+01,  1.0703e-02
       27132,  9.4958e+01,  2.1299e+01,  1.0000e+01,  1.0712e-02
       27133,  9.4278e+01,  2.1615e+01,  1.0000e+01,  1.0721e-02
       27134,  9.3609e+01,  2.1951e+01,  1.0000e+01,  1.0728e-02
       27135,  9.2946e+01,  2.2301e+01,  1.0000e+01,  1.0734e-02
       27136,  9.2289e+01,  2.2661e+01,  1.0000e+01,  1.0740e-02
       27137,  9.1640e+01,  2.3034e+01,  1.0000e+01,  1.0744e-02
       27138,  9.0996e+01,  2.3416e+01,  1.0000e+01,  1.0748e-02
       27139,  9.0354e+01,  2.3804e+01,  1.0000e+01,  1.0751e-02
       27140,  8.9715e+01,  2.4193e+01,  1.0000e+01,  1.0753e-02
       27141,  8.9079e+01,  2.4589e+01,  1.0000e+01,  1.0754e-02
       27142,  8.8447e+01,  2.4991e+01,  1.0000e+01,  1.0754e-02
       27143,  8.7818e+01,  2.5397e+01,  1.0000e+01,  1.0754e-02
       27144,  8.7189e+01,  2.5805e+01,  1.0000e+01,  1.0754e-02
       27145,  8.6561e+01,  2.6213e+01,  1.0000e+01,  1.0753e-02
       27146,  8.5931e+01,  2.6618e+01,  1.0000e+01,  1.0751e-02
       27147,  8.5300e+01,  2.7022e+01,  1.0000e+01,  1.0750e-02
       27148,  8.4671e+01,  2.7428e+01,  1.0000e+01,  1.0748e-02
       27149,  8.4042e+01,  2.7835e+01,  1.0000e+01,  1.0745e-02
       27150,  8.3413e+01,  2.8241e+01,  1.0000e+01,  1.0743e-02
       27151,  8.2783e+01,  2.8646e+01,  1.0000e+01,  1.0740e-02
       27152,  8.2151e+01,  2.9049e+01,  1.0000e+01,  1.0737e-02
       27153,  8.1517e+01,  2.9448e+01,  1.0000e+01,  1.0734e-02
       27154,  8.0881e+01,  2.9843e+01,  1.0000e+01,  1.0732e-02
       27155,  8.0242e+01,  3.0233e+01,  1.0000e+01,  1.0729e-02
       27156,  7.9601e+01,  3.0622e+01,  1.0000e+01,  1.0726e-02
       27157,  7.8959e+01,  3.1007e+01,  1.0000e+01,  1.0723e-02
       27158,  7.8314e+01,  3.1388e+01,  1.0000e+01,  1.0720e-02
       27159,  7.7666e+01,  3.1764e+01,  1.0000e+01,  1.0718e-02
       27160,  7.7015e+01,  3.2134e+01,  1.0000e+01,  1.0716e-02
       27161,  7.6361e+01,  3.2500e+01,  1.0000e+01,  1.0714e-02
       27162,  7.5705e+01,  3.2860e+01,  1.0000e+01,  1.0712e-02
       27163,  7.5045e+01,  3.3215e+01,  1.0000e+01,  1.0710e-02
       27164,  7.4381e+01,  3.3562e+01,  1.0000e+01,  1.0708e-02
       27165,  7.3715e+01,  3.3904e+01,  1.0000e+01,  1.0706e-02
       27166,  7.3045e+01,  3.4239e+01,  1.0000e+01,  1.0705e-02
       27167,  7.2372e+01,  3.4568e+01,  1.0000e+01,  1.0704e-02
       27168,  7.1695e+01,  3.4889e+01,  1.0000e+01,  1.0703e-02
       27169,  7.1014e+01,  3.5202e+01,  1.0000e+01,  1.0702e-02
       27170,  7.0330e+01,  3.5507e+01,  1.0000e+01,  1.0701e-02
       27171,  6.9643e+01,  3.5805e+01,  1.0000e+01,  1.0700e-02
       27172,  6.8952e+01,  3.6095e+01,  1.0000e+01,  1.0699e-02
       27173,  6.8257e+01,  3.6375e+01,  1.0000e+01,  1.0699e-02
       27174,  6.7560e+01,  3.6647e+01,  1.0000e+01,  1.0698e-02
       27175,  6.6858e+01,  3.6910e+01,  1.0000e+01,  1.0698e-02
       27176,  6.6153e+01,  3.7164e+01,  1.0000e+01,  1.0697e-02
       27177,  6.5445e+01,  3.7407e+01,  1.0000e+01,  1.0697e-02
       27178,  6.4733e+01,  3.7642e+01,  1.0000e+01,  1.0697e-02
       27179,  6.4019e+01,  3.7866e+01,  1.0000e+01,  1.0697e-02
       27180,  6.3301e+01,  3.8080e+01,  1.0000e+01,  1.0697e-02
       27181,  6.2580e+01,  3.8283e+01,  1.0000e+01,  1.0697e-02
       27182,  6.1856e+01,  3.8476e+01,  1.0000e+01,  1.0697e-02
       27183,  6.1129e+01,  3.8658e+01,  1.0000e+01,  1.0697e-02
       27184,  6.0400e+01,  3.8829e+01,  1.0000e+01,  1.0697e-02
       27185,  5.9668e+01,  3.8989e+01,  1.0000e+01,  1.0698e-02
       27186,  5.8934e+01,  3.9137e+01,  1.0000e+01,  1.0698e-02
       27187,  5.8197e+01,  3.9274e+01,  1.0000e+01,  1.0698e-02
       27188,  5.7459e+01,  3.9400e+01,  1.0000e+01,  1.0699e-02
       27189,  5.6718e+01,  3.9513e+01,  1.0000e+01,  1.0699e-02
       27190,  5.5976e+01,  3.9615e+01,  1.0000e+01,  1.0700e-02
       27191,  5.5233e+01,  3.9705e+01,  1.0000e+01,  1.0700e-02
       27192,  5.4488e+01,  3.9784e+01,  1.0000e+01,  1.0701e-02
       27193,  5.3741e+01,  3.9850e+01,  1.0000e+01,  1.0701e-02
       27194,  5.2994e+01,  3.9904e+01,  1.0000e+01,  1.0702e-02
       27195,  5.2246e+01,  3.9946e+01,  1.0000e+01,  1.0702e-02
       27196,  5.1498e+01,  3.9976e+01,  1.0000e+01,  1.0702e-02
       27197,  5.0749e+01,  3.9994e+01,  1.0000e+01,  1.0703e-02
       27248,  1.0000e+02,  2.0000e+01,  1.0000e+01,  1.0657e-02
