-1BEGIN_Units.csv
Units Code, Temperature Mode, Length, Force, Temperature, Temperature Offset
  5,   2,   0.10000000000000000D+04,   0.10000000000000000D+04,   0.10000000000000000D+01,   0.27314999389648438D+03
-1END_Units.csv
-1BEGIN_Lift_Drag.csv
Group,Time,LIFT-X,LIFT-Y,LIFT-Z,LIFT-Mag.,LIFT-Coef.,DRAG-X,DRAG-Y,DRAG-Z,DRAG-Mag.,DRAG-Coef.,SIDE-X,SIDE-Y,SIDE-Z,SIDE-Mag.,SIDE-Coef.,PITCH-X,PITCH-Y,PITCH-Z,PITCH-Mag.,PITCH-Coef.,ROLL-X,ROLL-Y,ROLL-Z,ROLL-Mag.,ROLL-Coef.,YAW-X,YAW-Y,YAW-Z,YAW-Mag.,YAW-Coef.,CP-X,CP-Y,CP-Z
Report(1),  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  9.9999988E-01,  1.1925539E-13,  0.0000000E+00, -9.9999994E-01,  0.0000000E+00,  0.0000000E+00, -3.0599179E+00,  0.0000000E+00,  0.0000000E+00, -9.9999982E-01,  0.0000000E+00,  1.8132922E+05,  0.0000000E+00,  0.0000000E+00, -9.9999982E-01,  0.0000000E+00, -1.5299590E+01,  0.0000000E+00, -9.9999994E-01,  0.0000000E+00,  0.0000000E+00, -9.0664612E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  9.9999988E-01, -1.8134688E+07,  0.0000000E+00,  1.0000974E+02,  1.6876572E-03,  5.0000000E+00
-1END_Lift_Drag.csv
