     Node ID,     X Coord,     Y Coord,     Z Coord,      Scalar
         176,  0.0000e+00,  2.0000e+01,  1.0000e+01,  1.7692e-06
        1863,  4.5038e+01,  3.9735e+01,  1.0000e+01,  5.0381e-07
        1864,  4.0132e+01,  3.8946e+01,  1.0000e+01,  3.9957e-07
        1865,  3.5331e+01,  3.7662e+01,  1.0000e+01,  3.4133e-07
        1866,  3.0671e+01,  3.5938e+01,  1.0000e+01,  3.0124e-07
        1867,  2.6164e+01,  3.3843e+01,  1.0000e+01,  2.7647e-07
        1868,  2.1804e+01,  3.1457e+01,  1.0000e+01,  2.6840e-07
        1869,  1.7561e+01,  2.8867e+01,  1.0000e+01,  2.3601e-07
        1870,  1.3382e+01,  2.6175e+01,  1.0000e+01,  2.0630e-07
        1871,  9.1801e+00,  2.3521e+01,  1.0000e+01,  6.1867e-07
        1872,  4.7937e+00,  2.1188e+01,  1.0000e+01,  1.3579e-06
        1874,  5.0000e+01,  4.0000e+01,  1.0000e+01,  5.5725e-07
        2081,  9.5207e+01,  2.1189e+01,  1.0000e+01,  1.3047e-06
        2082,  9.0821e+01,  2.3521e+01,  1.0000e+01,  8.8770e-07
        2083,  8.6618e+01,  2.6176e+01,  1.0000e+01,  5.3242e-07
        2084,  8.2438e+01,  2.8866e+01,  1.0000e+01,  3.3217e-07
        2085,  7.8197e+01,  3.1457e+01,  1.0000e+01,  2.0032e-07
        2086,  7.3836e+01,  3.3842e+01,  1.0000e+01,  9.1583e-08
        2087,  6.9329e+01,  3.5938e+01,  1.0000e+01,  5.6272e-08
        2088,  6.4669e+01,  3.7662e+01,  1.0000e+01,  1.3304e-07
        2089,  5.9868e+01,  3.8946e+01,  1.0000e+01,  2.6180e-07
        2090,  5.4962e+01,  3.9735e+01,  1.0000e+01,  4.3641e-07
        2106,  1.0000e+02,  2.0000e+01,  1.0000e+01,  1.5253e-06
