     Elem ID,     Node ID,     X Coord,     Y Coord,     Z Coord,           X,           Y,           Z,   Magnitude
       71031,       32085, -2.5000e+01,  3.1474e-01,  1.0000e+01,  5.0739e+01, -4.4561e-02,  1.1578e-06,  5.0739e+01
       71031,       33303, -2.5000e+01,  0.0000e+00,  1.0000e+01,  1.1595e+00,  1.3557e-02,  2.4851e-07,  1.1596e+00
       71032,       32084, -2.5000e+01,  6.6095e-01,  1.0000e+01,  1.0265e+02, -1.3633e-01,  1.9722e-06,  1.0265e+02
       71032,       32085, -2.5000e+01,  3.1474e-01,  1.0000e+01,  5.0739e+01, -4.4561e-02,  1.1578e-06,  5.0739e+01
       71033,       32083, -2.5000e+01,  1.0418e+00,  1.0000e+01,  1.5675e+02, -2.5954e-01,  3.1013e-06,  1.5675e+02
       71033,       32084, -2.5000e+01,  6.6095e-01,  1.0000e+01,  1.0265e+02, -1.3633e-01,  1.9722e-06,  1.0265e+02
       71034,       32082, -2.5000e+01,  1.4607e+00,  1.0000e+01,  2.1289e+02, -4.0693e-01,  4.4238e-06,  2.1289e+02
       71034,       32083, -2.5000e+01,  1.0418e+00,  1.0000e+01,  1.5675e+02, -2.5954e-01,  3.1013e-06,  1.5675e+02
       71035,       32081, -2.5000e+01,  1.9215e+00,  1.0000e+01,  2.7091e+02, -5.7189e-01,  5.5877e-06,  2.7091e+02
       71035,       32082, -2.5000e+01,  1.4607e+00,  1.0000e+01,  2.1289e+02, -4.0693e-01,  4.4238e-06,  2.1289e+02
       71036,       32080, -2.5000e+01,  2.4284e+00,  1.0000e+01,  3.3051e+02, -7.4923e-01,  6.3769e-06,  3.3051e+02
       71036,       32081, -2.5000e+01,  1.9215e+00,  1.0000e+01,  2.7091e+02, -5.7189e-01,  5.5877e-06,  2.7091e+02
       71037,       32079, -2.5000e+01,  2.9860e+00,  1.0000e+01,  3.9118e+02, -9.3447e-01,  6.5412e-06,  3.9118e+02
       71037,       32080, -2.5000e+01,  2.4284e+00,  1.0000e+01,  3.3051e+02, -7.4923e-01,  6.3769e-06,  3.3051e+02
       71038,       32078, -2.5000e+01,  3.5993e+00,  1.0000e+01,  4.5214e+02, -1.1231e+00,  5.8994e-06,  4.5215e+02
       71038,       32079, -2.5000e+01,  2.9860e+00,  1.0000e+01,  3.9118e+02, -9.3447e-01,  6.5412e-06,  3.9118e+02
       71039,       32077, -2.5000e+01,  4.2740e+00,  1.0000e+01,  5.1232e+02, -1.3102e+00,  4.4932e-06,  5.1232e+02
       71039,       32078, -2.5000e+01,  3.5993e+00,  1.0000e+01,  4.5214e+02, -1.1231e+00,  5.8994e-06,  4.5215e+02
       71040,       32076, -2.5000e+01,  5.0161e+00,  1.0000e+01,  5.7028e+02, -1.4896e+00,  2.5580e-06,  5.7028e+02
       71040,       32077, -2.5000e+01,  4.2740e+00,  1.0000e+01,  5.1232e+02, -1.3102e+00,  4.4932e-06,  5.1232e+02
       71041,       32075, -2.5000e+01,  5.8325e+00,  1.0000e+01,  6.2417e+02, -1.6539e+00,  5.4553e-07,  6.2417e+02
